address_line_1,address_line_2,city,name,phone,state,url,zip_code,address,Updated_Date,point,latitude,longitude
4500 N Oracle Road,Space 115,Tucson,Tucson Mall,(520) 888-0336,AZ,https://stores.ladyfootlocker.com/us/az/tucson/4500-n-oracle-road.html,85705,"4500 N Oracle Road, Space 115, Tucson, AZ, 85705",2021-02-28,"(32.2228765, -110.9748477)",32.2228765,-110.9748477
14200 E Alameda Ave,Space 2055,Aurora,Town Center At Aurora,(303) 363-8068,CO,https://stores.ladyfootlocker.com/us/co/aurora/14200-e-alameda-ave.html,80012,"14200 E Alameda Ave, Space 2055, Aurora, CO, 80012",2021-02-28,"(39.729432, -104.8319196)",39.729432,-104.8319196
1450 Ala Moana Blvd,Space 1231,Honolulu,Ala Moana Center,(808) 942-1071,HI,https://stores.ladyfootlocker.com/us/hi/honolulu/1450-ala-moana-blvd.html,96814,"1450 Ala Moana Blvd, Space 1231, Honolulu, HI, 96814",2021-02-28,"(21.304547, -157.8556764)",21.304547,-157.8556764
96 River Oaks Dr,,Calumet City,River Oaks Center,(708) 868-6229,IL,https://stores.ladyfootlocker.com/us/il/calumet-city/96-river-oaks-dr.html,60409,"96 River Oaks Dr, Calumet City, IL, 60409",2021-02-28,"(41.6010821, -87.5581579)",41.6010821,-87.5581579
6401 Bluebonnet Blvd,Space 2114,Baton Rouge,Mall Of Louisiana,(225) 767-2198,LA,https://stores.ladyfootlocker.com/us/la/baton-rouge/6401-bluebonnet-blvd.html,70836,"6401 Bluebonnet Blvd, Space 2114, Baton Rouge, LA, 70836",2021-02-28,"(30.387688478432157, -91.08695006192693)",30.387688478432157,-91.08695006192693
250 Granite Street,Ste 2062,Braintree,South Shore Plaza,(781) 843-3258,MA,https://stores.ladyfootlocker.com/us/ma/braintree/250-granite-street.html,2184,"250 Granite Street, Ste 2062, Braintree, MA, 02184",2021-02-28,"(42.2097963, -71.001075)",42.2097963,-71.001075
18000 Vernier Rd,Ste 806,Harper Woods,Eastland Center,(313) 839-0440,MI,https://stores.ladyfootlocker.com/us/mi/harper-woods/18000-vernier-rd.html,48225,"18000 Vernier Rd, Ste 806, Harper Woods, MI, 48225",2021-02-28,"(42.4333367, -82.9238847)",42.4333367,-82.9238847
2484 Saint Louis Galleria,,St. Louis,Saint Louis Galleria,(314) 862-9323,MO,https://stores.ladyfootlocker.com/us/mo/st-louis/2484-saint-louis-galleria.html,63117,"2484 Saint Louis Galleria, St. Louis, MO, 63117",2021-02-28,"(38.63510455, -90.3476632779996)",38.63510455,-90.3476632779996
5385 Meadowood Mall,Space D128,Reno,Meadowood Mall,(775) 825-7901,NV,https://stores.ladyfootlocker.com/us/nv/reno/5385-meadowood-mall.html,89502,"5385 Meadowood Mall, Space D128, Reno, NV, 89502",2021-02-28,"(39.5261206, -119.8126581)",39.5261206,-119.8126581
4325 Glenwood Avenue,Ste 2074,Raleigh,Crabtree Valley Mall,(919) 786-9864,NC,https://stores.ladyfootlocker.com/us/nc/raleigh/4325-glenwood-avenue.html,27612,"4325 Glenwood Avenue, Ste 2074, Raleigh, NC, 27612",2021-02-28,"(35.7803977, -78.6390989)",35.7803977,-78.6390989
5001 Monroe Street,Suite 936,Toledo,Franklin Park Mall,(419) 471-1473,OH,https://stores.ladyfootlocker.com/us/oh/toledo/5001-monroe-street.html,43623,"5001 Monroe Street, Suite 936, Toledo, OH, 43623",2021-02-28,"(41.70353537363732, -83.6464651699051)",41.70353537363732,-83.6464651699051
277 Lehigh Valley Mall,,Whitehall,Lehigh Valley Mall,(610) 264-5489,PA,https://stores.ladyfootlocker.com/us/pa/whitehall/277-lehigh-valley-mall.html,18052,"277 Lehigh Valley Mall, Whitehall, PA, 18052",2021-02-28,"(40.62977289196522, -75.48274180315565)",40.62977289196522,-75.48274180315565
700 Haywood Rd,,Greenville,Haywood Mall,(864) 297-4774,SC,https://stores.ladyfootlocker.com/us/sc/greenville/700-haywood-rd.html,29607,"700 Haywood Rd, Greenville, SC, 29607",2021-02-28,"(34.849582549999994, -82.33315889539456)",34.849582549999994,-82.33315889539456
7972l Tysons Corner,,Mclean,Tysons Corner Center,(703) 506-0908,VA,https://stores.ladyfootlocker.com/us/va/mclean/7972l-tysons-corner.html,22102,"7972l Tysons Corner, Mclean, VA, 22102",2021-02-28,"(38.9317403, -77.1670637790478)",38.9317403,-77.1670637790478
6000 Sepulveda Blvd,,Culver City,Westfield Culver City,(310) 391-8397,CA,https://stores.ladyfootlocker.com//us/ca/culver-city/6000-sepulveda-blvd.html,90230,"6000 Sepulveda Blvd, Culver City, CA, 90230",2021-02-28,"(33.9852331, -118.3944704)",33.9852331,-118.3944704
485 E Shaw Ave,,Fresno,Fashion Fair Mall,(559) 224-4407,CA,https://stores.ladyfootlocker.com//us/ca/fresno/485-e-shaw-ave.html,93710,"485 E Shaw Ave, Fresno, CA, 93710",2021-02-28,"(36.808457913043476, -119.7794255652174)",36.808457913043476,-119.7794255652174
2170 Glendale Galleria,,Glendale,Glendale Galleria,(818) 500-9206,CA,https://stores.ladyfootlocker.com//us/ca/glendale/2170-glendale-galleria.html,91210,"2170 Glendale Galleria, Glendale, CA, 91210",2021-02-28,"(34.14468215, -118.25889419596774)",34.14468215,-118.25889419596774
3401 Dale Road,Space 224,Modesto,Vintage Faire Mall,(209) 527-4501,CA,https://stores.ladyfootlocker.com//us/ca/modesto/3401-dale-road.html,95356,"3401 Dale Road, Space 224, Modesto, CA, 95356",2021-02-28,"(37.6390972, -120.9968782)",37.6390972,-120.9968782
1689 Arden Way,Ste 2178,Sacramento,Arden Fair Mall,(916) 921-9909,CA,https://stores.ladyfootlocker.com//us/ca/sacramento/1689-arden-way.html,95815,"1689 Arden Way, Ste 2178, Sacramento, CA, 95815",2021-02-28,"(38.5810606, -121.4938951)",38.5810606,-121.4938951
865 Market Street,Space 204,San Francisco,Westfield San Francisco Centre,(415) 512-9177,CA,https://stores.ladyfootlocker.com//us/ca/san-francisco/865-market-street.html,94103,"865 Market Street, Space 204, San Francisco, CA, 94103",2021-02-28,"(37.7790262, -122.4199061)",37.7790262,-122.4199061
24201 Valencia Blvd,Suite 1223,Valencia,Westfield Valencia Town Center,(661) 253-3798,CA,https://stores.ladyfootlocker.com//us/ca/valencia/24201-valencia-blvd.html,91355,"24201 Valencia Blvd, Suite 1223, Valencia, CA, 91355",2021-02-28,"(34.413819, -118.5610378)",34.413819,-118.5610378
795 Plaza Drive,,West Covina,Plaza At West Covina,(626) 813-6734,CA,https://stores.ladyfootlocker.com//us/ca/west-covina/795-plaza-drive.html,91790,"795 Plaza Drive, West Covina, CA, 91790",2021-02-28,"(34.06992075973865, -117.92740232440329)",34.06992075973865,-117.92740232440329
434 Christiana Mall,,Newark,Christiana Mall,(302) 456-9903,DE,https://stores.ladyfootlocker.com//us/de/newark/434-christiana-mall.html,19702,"434 Christiana Mall, Newark, DE, 19702",2021-02-28,"(39.6784196, -75.65239689667357)",39.6784196,-75.65239689667357
4737 Concord Pike,Ste 470,Wilmington,Concord Mall,(302) 478-9721,DE,https://stores.ladyfootlocker.com//us/de/wilmington/4737-concord-pike.html,19803,"4737 Concord Pike, Ste 470, Wilmington, DE, 19803",2021-02-28,"(39.82291025, -75.54386967715169)",39.82291025,-75.54386967715169
